iter	MultiClass
0	1.000056994
1	0.9150845604
2	0.8439806817
3	0.7829859842
4	0.7326507898
5	0.6820985057
6	0.6387387206
7	0.6003274874
8	0.5635037172
9	0.5323427887
10	0.5030640723
11	0.4794214867
12	0.4535507932
13	0.4335930019
14	0.4134460925
15	0.3929300811
16	0.3742730482
17	0.3565499336
18	0.3420822924
19	0.3255753599
20	0.3109038016
21	0.2992289777
22	0.2862168375
23	0.2745588737
24	0.265745538
25	0.2544392744
26	0.2462662798
27	0.2377593105
28	0.2292524151
29	0.221863759
30	0.2155196176
31	0.2079389684
32	0.2006376015
33	0.1939052749
34	0.1874115379
35	0.180629405
36	0.1747545475
37	0.1693214421
38	0.1637081763
39	0.1594777056
40	0.1544874359
41	0.1505941345
42	0.1471433623
43	0.1433895682
44	0.1408127456
45	0.1373463432
46	0.1333158897
47	0.1309417982
48	0.1287109515
49	0.1265170601
50	0.1227458645
51	0.119944471
52	0.117715418
53	0.1145477927
54	0.1117288374
55	0.1096579924
56	0.107256301
57	0.1049175108
58	0.1025990766
59	0.1005391074
60	0.09869717749
61	0.0971954465
62	0.09561502667
63	0.09324609449
64	0.0912897657
65	0.09006602786
66	0.08863197017
67	0.08716580659
68	0.08546866024
69	0.0841310255
70	0.08292006946
71	0.08161318351
72	0.08009675011
73	0.0788147828
74	0.0777514063
75	0.07678747331
76	0.07578783776
77	0.07443558449
78	0.07321408036
79	0.072203171
80	0.07095969678
81	0.06948528873
82	0.0687375924
83	0.06767442365
84	0.06686775541
85	0.06580065272
86	0.06483930279
87	0.0636919984
88	0.06288611993
89	0.06224110255
90	0.06114326624
91	0.06006182672
92	0.05912831317
93	0.05841330138
94	0.05738543631
95	0.05682137415
96	0.05584510303
97	0.0548768291
98	0.0546992479
99	0.05406301717
100	0.05317198829
101	0.05236017435
102	0.05185804
103	0.05107309774
104	0.05062536078
105	0.05017140962
106	0.04951558111
107	0.04883924275
108	0.04807594163
109	0.04736271773
110	0.04681733
111	0.04604492054
112	0.04537910984
113	0.04484184652
114	0.04419309743
115	0.04368454029
116	0.04338558405
117	0.04295128713
118	0.04259010093
119	0.04220376298
120	0.04144001085
121	0.04093397355
122	0.04058891286
123	0.04025033089
124	0.03993549628
125	0.03931840607
126	0.03897397097
127	0.03853979331
128	0.03814588585
129	0.03771196584
130	0.03736278837
131	0.03716099596
132	0.03678698168
133	0.03650098025
134	0.03622222285
135	0.03581892337
136	0.03559982538
137	0.03530624199
138	0.03493657978
139	0.03477069406
140	0.03431404523
141	0.03398765216
142	0.03361791728
143	0.03338539929
144	0.03319069034
145	0.03288146141
146	0.03248704449
147	0.03233687492
148	0.03214803772
149	0.03182593876
150	0.03163852429
151	0.03130695386
152	0.03093266493
153	0.030856318
154	0.03061515988
155	0.03041703295
156	0.03022280941
157	0.03001181758
158	0.02964841647
159	0.02937092181
160	0.02912887705
161	0.02883916223
162	0.02857392694
163	0.02837814313
164	0.02822835526
165	0.02803547989
166	0.02778404895
167	0.02763267627
168	0.02739461861
169	0.02720115808
170	0.02704751515
171	0.02685305971
172	0.02673303555
173	0.02663350637
174	0.02642947146
175	0.02638874062
176	0.02614263232
177	0.02597932898
178	0.02585015868
179	0.02565248999
180	0.02549482145
181	0.02538868787
182	0.02521483151
183	0.02507504024
184	0.02492072864
185	0.02473870935
186	0.0245986678
187	0.02441259667
188	0.02421200104
189	0.0240659227
190	0.02386649252
191	0.02368539404
192	0.02353453506
193	0.0233805261
194	0.02323433889
195	0.02310149941
